"Indice_de_Força_Relativa";"Indice_do_canal_de_commodities";"Indice_Direcional_Medio";"Oscilador_extraordinario";"Momentum";"NIvel_MACD";"IFR_Estocastico_Rapido";"Range_Percentual_de_Williams";"Força_Bull_Bear";"Oscilador_Definitivo";"Status"
75.11;83.75;24.50;2.43;0.07;1.19;35.08;−15.88;1.03;60.83;49.32
75.11;83.75;24.50;2.43;0.07;1.19;35.08;−15.88;1.03;60.83;49.31
74.90;82.89;24.50;2.43;0.05;1.18;34.77;−16.50;1.04;60.64;49.33
75.11;83.75;24.50;2.43;0.07;1.19;35.08;−15.88;1.03;60.83;49.28
75.11;83.75;24.50;2.43;0.07;1.19;35.08;−15.88;1.03;60.83;49.24
73.97;79.04;24.50;2.43;−0.04;1.18;33.35;−19.29;1.06;59.80;49.32
75.00;83.32;24.50;2.43;0.06;1.18;34.93;−16.19;1.03;60.74;49.31
74.80;82.47;24.50;2.43;0.04;1.18;34.61;−16.81;1.04;60.55;49.30
74.80;82.47;24.50;2.43;0.04;1.18;34.61;−16.81;1.04;60.55;49.30
74.69;82.04;24.50;2.43;0.03;1.18;34.45;−17.12;1.04;60.46;49.27
74.07;79.47;24.50;2.43;−0.03;1.18;33.51;−18.98;1.06;59.90;49.22
74.07;79.47;24.50;2.43;−0.03;1.18;33.51;−18.98;1.06;59.90;49.25
74.18;79.90;24.50;2.43;−0.02;1.18;33.66;−18.67;1.06;59.99;49.27
74.49;81.18;24.50;2.43;0.01;1.18;34.13;−17.74;1.05;60.27;49.25
74.07;79.47;24.50;2.43;−0.03;1.18;33.51;−18.98;1.06;59.90;49.19
73.66;77.75;24.50;2.43;−0.07;1.17;32.89;−20.22;1.07;59.52;49.14
73.14;75.59;24.50;2.43;−0.12;1.17;32.12;−21.77;1.09;59.05;49.17
73.35;76.46;24.50;2.43;−0.10;1.17;32.42;−21.15;1.08;59.24;49.20
74.69;82.04;24.50;2.43;0.03;1.18;34.45;−17.12;1.04;60.46;49.26
74.28;80.32;24.50;2.43;−0.01;1.18;33.82;−18.36;1.05;60.08;49.29
74.69;82.04;24.50;2.43;0.03;1.18;34.45;−17.12;1.04;60.46;49.26
74.38;80.75;24.50;2.43;−0.00;1.18;33.98;−18.05;1.05;60.18;49.25
74.38;80.75;24.50;2.43;−0.00;1.18;33.98;−18.05;1.05;60.18;49.29
74.49;81.18;24.50;2.43;0.01;1.18;34.13;−17.74;1.05;60.27;49.29
74.69;82.04;24.50;2.43;0.03;1.18;34.45;−17.12;1.04;60.46;49.30
74.80;82.47;24.50;2.43;0.04;1.18;34.61;−16.81;1.04;60.55;49.27
74.49;81.18;24.50;2.43;0.01;1.18;34.13;−17.74;1.05;60.27;49.26
74.28;80.32;24.50;2.43;−0.01;1.18;33.82;−18.36;1.05;60.08;49.26
74.28;80.32;24.50;2.43;−0.01;1.18;33.82;−18.36;1.05;60.08;49.26
74.38;80.75;24.50;2.43;−0.00;1.18;33.98;−18.05;1.05;60.18;49.26
74.38;80.75;24.50;2.43;−0.00;1.18;33.98;−18.05;1.05;60.18;49.24
74.38;80.75;24.50;2.43;−0.00;1.18;33.98;−18.05;1.05;60.18;49.20
73.87;78.61;24.50;2.43;−0.05;1.18;33.20;−19.60;1.07;59.71;49.19
73.66;77.75;24.50;2.43;−0.07;1.17;32.89;−20.22;1.07;59.52;49.22
73.66;77.75;24.50;2.43;−0.07;1.17;32.89;−20.22;1.07;59.52;49.17
73.45;76.89;24.50;2.43;−0.09;1.17;32.58;−20.84;1.08;59.33;49.22
73.76;78.18;24.50;2.43;−0.06;1.18;33.04;−19.91;1.07;59.62;49.15
72.94;74.73;24.50;2.43;−0.14;1.17;31.81;−22.39;1.09;58.87;49.11
72.94;74.73;24.50;2.43;−0.14;1.17;31.81;−22.39;1.09;58.87;49.12
73.04;75.16;24.50;2.43;−0.13;1.17;31.96;−22.08;1.09;58.96;49.19
73.35;76.46;24.50;2.43;−0.10;1.17;32.42;−21.15;1.08;59.24;49.18
73.56;77.32;24.50;2.43;−0.08;1.17;32.73;−20.53;1.07;59.43;49.17
73.45;76.89;24.50;2.43;−0.09;1.17;32.58;−20.84;1.08;59.33;49.18
73.56;77.32;24.50;2.43;−0.08;1.17;32.73;−20.53;1.07;59.43;49.18
73.56;77.32;24.50;2.43;−0.08;1.17;32.73;−20.53;1.07;59.43;49.17
73.45;76.89;24.50;2.43;−0.09;1.17;32.58;−20.84;1.08;59.33;49.19
73.56;77.32;24.50;2.43;−0.08;1.17;32.73;−20.53;1.07;59.43;49.19
73.56;77.32;24.50;2.43;−0.08;1.17;32.73;−20.53;1.07;59.43;49.17
73.45;76.89;24.50;2.43;−0.09;1.17;32.58;−20.84;1.08;59.33;49.12
73.45;76.89;24.50;2.43;−0.09;1.17;32.58;−20.84;1.08;59.33;49.07
72.94;74.73;24.50;2.43;−0.14;1.17;31.81;−22.39;1.09;58.87;49.17
73.45;76.89;24.50;2.43;−0.09;1.17;32.58;−20.84;1.08;59.33;49.15
73.76;78.18;24.50;2.43;−0.06;1.18;33.04;−19.91;1.07;59.62;49.22
73.76;78.18;24.50;2.43;−0.06;1.18;33.04;−19.91;1.07;59.62;49.26
74.59;81.61;24.50;2.43;0.02;1.18;34.29;−17.43;1.05;60.36;49.23
74.28;80.32;24.50;2.43;−0.01;1.18;33.82;−18.36;1.05;60.08;49.25
74.28;80.32;24.50;2.43;−0.01;1.18;33.82;−18.36;1.05;60.08;49.25
74.28;80.32;24.50;2.43;−0.01;1.18;33.82;−18.36;1.05;60.08;49.25
74.28;80.32;24.50;2.43;−0.01;1.18;33.82;−18.36;1.05;60.08;49.25
74.28;80.32;24.50;2.43;−0.01;1.18;33.82;−18.36;1.05;60.08;49.27
74.38;80.75;24.50;2.43;−0.00;1.18;33.98;−18.05;1.05;60.18;49.26
74.38;80.75;24.50;2.43;−0.00;1.18;33.98;−18.05;1.05;60.18;49.26
74.38;80.75;24.50;2.43;−0.00;1.18;33.98;−18.05;1.05;60.18;49.25
74.28;80.32;24.50;2.43;−0.01;1.18;33.82;−18.36;1.05;60.08;49.24
74.18;79.90;24.50;2.43;−0.02;1.18;33.66;−18.67;1.06;59.99;49.23
74.18;79.90;24.50;2.43;−0.02;1.18;33.66;−18.67;1.06;59.99;49.21
73.97;79.04;24.50;2.43;−0.04;1.18;33.35;−19.29;1.06;59.80;49.21
73.97;79.04;24.50;2.43;−0.04;1.18;33.35;−19.29;1.06;59.80;49.21
73.97;79.04;24.50;2.43;−0.04;1.18;33.35;−19.29;1.06;59.80;49.19
73.97;79.04;24.50;2.43;−0.04;1.18;33.35;−19.29;1.06;59.80;49.17
73.45;76.89;24.50;2.43;−0.09;1.17;32.58;−20.84;1.08;59.33;49.21
73.87;78.61;24.50;2.43;−0.05;1.18;33.20;−19.60;1.07;59.71;49.22
73.87;78.61;24.50;2.43;−0.05;1.18;33.20;−19.60;1.07;59.71;49.18
73.56;77.32;24.50;2.43;−0.08;1.17;32.73;−20.53;1.07;59.43;49.18
73.56;77.32;24.50;2.43;−0.08;1.17;32.73;−20.53;1.07;59.43;49.17
73.56;77.32;24.50;2.43;−0.08;1.17;32.73;−20.53;1.07;59.43;49.18
73.56;77.32;24.50;2.43;−0.08;1.17;32.73;−20.53;1.07;59.43;49.15
73.14;75.59;24.50;2.43;−0.12;1.17;32.12;−21.77;1.09;59.05;49.11
72.94;74.73;24.50;2.43;−0.14;1.17;31.81;−22.39;1.09;58.87;49.14
72.94;74.73;24.50;2.43;−0.14;1.17;31.81;−22.39;1.09;58.87;49.15
73.25;76.02;24.50;2.43;−0.11;1.17;32.27;−21.46;1.08;59.15;49.16
73.35;76.46;24.50;2.43;−0.10;1.17;32.42;−21.15;1.08;59.24;49.17
73.35;76.46;24.50;2.43;−0.10;1.17;32.42;−21.15;1.08;59.24;49.15
73.35;76.46;24.50;2.43;−0.10;1.17;32.42;−21.15;1.08;59.24;49.16
73.25;76.02;24.50;2.43;−0.11;1.17;32.27;−21.46;1.08;59.15;49.20
73.87;78.61;24.50;2.43;−0.05;1.18;33.20;−19.60;1.07;59.71;49.20
73.87;78.61;24.50;2.43;−0.05;1.18;33.20;−19.60;1.07;59.71;49.20
73.87;78.61;24.50;2.43;−0.05;1.18;33.20;−19.60;1.07;59.71;49.20
74.28;80.32;24.50;2.43;−0.01;1.18;33.82;−18.36;1.05;60.08;49.25
73.76;78.18;24.50;2.43;−0.06;1.18;33.04;−19.91;1.07;59.62;49.21
73.76;78.18;24.50;2.43;−0.06;1.18;33.04;−19.91;1.07;59.62;49.15
73.04;75.16;24.50;2.43;−0.13;1.17;31.96;−22.08;1.09;58.96;49.16
73.35;76.46;24.50;2.43;−0.10;1.17;32.42;−21.15;1.08;59.24;49.11
72.94;74.73;24.50;2.43;−0.14;1.17;31.81;−22.39;1.09;58.87;49.10
72.73;73.86;24.50;2.43;−0.16;1.17;31.51;−23.01;1.10;58.68;49.12
72.94;74.73;24.50;2.43;−0.14;1.17;31.81;−22.39;1.09;58.87;49.10
72.94;74.73;24.50;2.43;−0.14;1.17;31.81;−22.39;1.09;58.87;49.07
72.42;72.55;24.50;2.43;−0.19;1.17;31.05;−23.94;1.11;58.40;49.05
72.21;71.68;24.50;2.43;−0.21;1.16;30.75;−24.56;1.11;58.21;49.07
72.21;71.68;24.50;2.43;−0.21;1.16;30.75;−24.56;1.11;58.21;49.00
72.42;72.55;24.50;2.43;−0.19;1.17;31.05;−23.94;1.11;58.40;49.09
72.63;73.42;24.50;2.43;−0.17;1.17;31.36;−23.32;1.10;58.59;49.05
71.80;69.94;24.50;2.43;−0.25;1.16;30.15;−25.80;1.12;57.84;48.97
71.80;69.94;24.50;2.43;−0.25;1.16;30.15;−25.80;1.12;57.84;49.02
71.91;70.37;24.50;2.43;−0.24;1.16;30.30;−25.49;1.12;57.93;49.06
72.21;71.68;24.50;2.43;−0.21;1.16;30.75;−24.56;1.11;58.21;49.11
72.21;71.68;24.50;2.43;−0.21;1.16;30.75;−24.56;1.11;58.21;49.09
74.49;81.18;24.50;2.43;0.01;1.18;34.13;−17.74;1.05;60.27;49.28
74.49;81.18;24.50;2.43;0.01;1.18;34.13;−17.74;1.05;60.27;49.28
74.49;81.18;24.50;2.43;0.01;1.18;34.13;−17.74;1.05;60.27;49.28
74.59;81.61;24.50;2.43;0.02;1.18;34.29;−17.43;1.05;60.36;49.27
74.49;81.18;24.50;2.43;0.01;1.18;34.13;−17.74;1.05;60.27;49.28
74.49;81.18;24.50;2.43;0.01;1.18;34.13;−17.74;1.05;60.27;49.27
74.49;81.18;24.50;2.43;0.01;1.18;34.13;−17.74;1.05;60.27;49.27
74.49;81.18;24.50;2.43;0.01;1.18;34.13;−17.74;1.05;60.27;49.22
73.97;79.04;24.50;2.43;−0.04;1.18;33.35;−19.29;1.06;59.80;49.21
74.38;80.75;24.50;2.43;−0.00;1.18;33.98;−18.05;1.05;60.18;49.26
74.38;80.75;24.50;2.43;−0.00;1.18;33.98;−18.05;1.05;60.18;49.25
74.28;80.32;24.50;2.43;−0.01;1.18;33.82;−18.36;1.05;60.08;49.26
74.59;81.61;24.50;2.43;0.02;1.18;34.29;−17.43;1.05;60.36;49.28
74.49;81.18;24.50;2.43;0.01;1.18;34.13;−17.74;1.05;60.27;49.28
74.49;81.18;24.50;2.43;0.01;1.18;34.13;−17.74;1.05;60.27;49.26
74.38;80.75;24.50;2.43;−0.00;1.18;33.98;−18.05;1.05;60.18;49.26
74.38;80.75;24.50;2.43;−0.00;1.18;33.98;−18.05;1.05;60.18;49.21
74.28;80.32;24.50;2.43;−0.01;1.18;33.82;−18.36;1.05;60.08;49.25
74.28;80.32;24.50;2.43;−0.01;1.18;33.82;−18.36;1.05;60.08;49.25
74.38;80.75;24.50;2.43;−0.00;1.18;33.98;−18.05;1.05;60.18;49.24
74.38;80.75;24.50;2.43;−0.00;1.18;33.98;−18.05;1.05;60.18;49.26
74.28;80.32;24.50;2.43;−0.01;1.18;33.82;−18.36;1.05;60.08;49.25
74.28;80.32;24.50;2.43;−0.01;1.18;33.82;−18.36;1.05;60.08;49.24
74.28;80.32;24.50;2.43;−0.01;1.18;33.82;−18.36;1.05;60.08;49.25
74.28;80.32;24.50;2.43;−0.01;1.18;33.82;−18.36;1.05;60.08;49.22
74.28;80.32;24.50;2.43;−0.01;1.18;33.82;−18.36;1.05;60.08;49.21
73.76;78.18;24.50;2.43;−0.06;1.18;33.04;−19.91;1.07;59.62;49.22
73.97;79.04;24.50;2.43;−0.04;1.18;33.35;−19.29;1.06;59.80;49.25
74.18;79.90;24.50;2.43;−0.02;1.18;33.66;−18.67;1.06;59.99;49.24
74.18;79.90;24.50;2.43;−0.02;1.18;33.66;−18.67;1.06;59.99;49.28
74.59;81.61;24.50;2.43;0.02;1.18;34.29;−17.43;1.05;60.36;49.28
74.59;81.61;24.50;2.43;0.02;1.18;34.29;−17.43;1.05;60.36;49.27
74.28;80.32;24.50;2.43;−0.01;1.18;33.82;−18.36;1.05;60.08;49.25
74.28;80.32;24.50;2.43;−0.01;1.18;33.82;−18.36;1.05;60.08;49.27
74.28;80.32;24.50;2.43;−0.01;1.18;33.82;−18.36;1.05;60.08;49.27
74.49;81.18;24.50;2.43;0.01;1.18;34.13;−17.74;1.05;60.27;49.27
74.49;81.18;24.50;2.43;0.01;1.18;34.13;−17.74;1.05;60.27;49.27
74.59;81.61;24.50;2.43;0.02;1.18;34.29;−17.43;1.05;60.36;49.28
74.59;81.61;24.50;2.43;0.02;1.18;34.29;−17.43;1.05;60.36;49.28
74.59;81.61;24.50;2.43;0.02;1.18;34.29;−17.43;1.05;60.36;49.28
74.59;81.61;24.50;2.43;0.02;1.18;34.29;−17.43;1.05;60.36;49.28
74.59;81.61;24.50;2.43;0.02;1.18;34.29;−17.43;1.05;60.36;49.27
74.38;80.75;24.50;2.43;−0.00;1.18;33.98;−18.05;1.05;60.18;49.27
74.49;81.18;24.50;2.43;0.01;1.18;34.13;−17.74;1.05;60.27;49.28
74.49;81.18;24.50;2.43;0.01;1.18;34.13;−17.74;1.05;60.27;49.30
74.80;82.47;24.50;2.43;0.04;1.18;34.61;−16.81;1.04;60.55;49.29
74.69;82.04;24.50;2.43;0.03;1.18;34.45;−17.12;1.04;60.46;49.30
74.69;82.04;24.50;2.43;0.03;1.18;34.45;−17.12;1.04;60.46;49.29
74.69;82.04;24.50;2.43;0.03;1.18;34.45;−17.12;1.04;60.46;49.30
74.69;82.04;24.50;2.43;0.03;1.18;34.45;−17.12;1.04;60.46;49.30
74.80;82.47;24.50;2.43;0.04;1.18;34.61;−16.81;1.04;60.55;49.30
74.80;82.47;24.50;2.43;0.04;1.18;34.61;−16.81;1.04;60.55;49.29
74.80;82.47;24.50;2.43;0.04;1.18;34.61;−16.81;1.04;60.55;49.30
74.80;82.47;24.50;2.43;0.04;1.18;34.61;−16.81;1.04;60.55;49.30
74.80;82.47;24.50;2.43;0.04;1.18;34.61;−16.81;1.04;60.55;49.28
74.28;80.32;24.50;2.43;−0.01;1.18;33.82;−18.36;1.05;60.08;49.23
74.28;80.32;24.50;2.43;−0.01;1.18;33.82;−18.36;1.05;60.08;49.26
74.28;80.32;24.50;2.43;−0.01;1.18;33.82;−18.36;1.05;60.08;49.24
74.18;79.90;24.50;2.43;−0.02;1.18;33.66;−18.67;1.06;59.99;49.23
74.18;79.90;24.50;2.43;−0.02;1.18;33.66;−18.67;1.06;59.99;49.23
74.18;79.90;24.50;2.43;−0.02;1.18;33.66;−18.67;1.06;59.99;49.22
74.18;79.90;24.50;2.43;−0.02;1.18;33.66;−18.67;1.06;59.99;49.17
73.66;77.75;24.50;2.43;−0.07;1.17;32.89;−20.22;1.07;59.52;49.22
73.97;79.04;24.50;2.43;−0.04;1.18;33.35;−19.29;1.06;59.80;49.18
73.66;77.75;24.50;2.43;−0.07;1.17;32.89;−20.22;1.07;59.52;49.17
73.66;77.75;24.50;2.43;−0.07;1.17;32.89;−20.22;1.07;59.52;49.17
73.45;76.89;24.50;2.43;−0.09;1.17;32.58;−20.84;1.08;59.33;49.24
73.45;76.89;24.50;2.43;−0.09;1.17;32.58;−20.84;1.08;59.33;49.20
73.76;78.18;24.50;2.43;−0.06;1.18;33.04;−19.91;1.07;59.62;49.22
73.97;79.04;24.50;2.43;−0.04;1.18;33.35;−19.29;1.06;59.80;49.20
73.97;79.04;24.50;2.43;−0.04;1.18;33.35;−19.29;1.06;59.80;49.19
73.76;78.18;24.50;2.43;−0.06;1.18;33.04;−19.91;1.07;59.62;49.19
73.66;77.75;24.50;2.43;−0.07;1.17;32.89;−20.22;1.07;59.52;49.17
73.66;77.75;24.50;2.43;−0.07;1.17;32.89;−20.22;1.07;59.52;49.19
73.56;77.32;24.50;2.43;−0.08;1.17;32.73;−20.53;1.07;59.43;49.18
73.45;76.89;24.50;2.43;−0.09;1.17;32.58;−20.84;1.08;59.33;49.15
73.45;76.89;24.50;2.43;−0.09;1.17;32.58;−20.84;1.08;59.33;49.13
73.04;75.16;24.50;2.43;−0.13;1.17;31.96;−22.08;1.09;58.96;49.13
73.04;75.16;24.50;2.43;−0.13;1.17;31.96;−22.08;1.09;58.96;49.15
73.04;75.16;24.50;2.43;−0.13;1.17;31.96;−22.08;1.09;58.96;49.13
73.04;75.16;24.50;2.43;−0.13;1.17;31.96;−22.08;1.09;58.96;49.13
73.04;75.16;24.50;2.43;−0.13;1.17;31.96;−22.08;1.09;58.96;49.09
72.42;72.55;24.50;2.43;−0.19;1.17;31.05;−23.94;1.11;58.40;49.08
72.52;72.99;24.50;2.43;−0.18;1.17;31.20;−23.63;1.10;58.49;49.11
72.83;74.29;24.50;2.43;−0.15;1.17;31.66;−22.70;1.09;58.77;49.11
72.94;74.73;24.50;2.43;−0.14;1.17;31.81;−22.39;1.09;58.87;49.14
72.94;74.73;24.50;2.43;−0.14;1.17;31.81;−22.39;1.09;58.87;49.12
72.94;74.73;24.50;2.43;−0.14;1.17;31.81;−22.39;1.09;58.87;49.14
73.14;75.59;24.50;2.43;−0.12;1.17;32.12;−21.77;1.09;59.05;49.12
72.94;74.73;24.50;2.43;−0.14;1.17;31.81;−22.39;1.09;58.87;49.10
72.73;73.86;24.50;2.43;−0.16;1.17;31.51;−23.01;1.10;58.68;49.06
72.73;73.86;24.50;2.43;−0.16;1.17;31.51;−23.01;1.10;58.68;49.05
72.32;72.12;24.50;2.43;−0.20;1.16;30.90;−24.25;1.11;58.31;49.09
73.14;75.59;24.50;2.43;−0.12;1.17;32.12;−21.77;1.09;59.05;49.10
73.14;75.59;24.50;2.43;−0.12;1.17;32.12;−21.77;1.09;59.05;49.11
72.83;74.29;24.50;2.43;−0.15;1.17;31.66;−22.70;1.09;58.77;49.16
73.25;76.02;24.50;2.43;−0.11;1.17;32.27;−21.46;1.08;59.15;49.15
73.25;76.02;24.50;2.43;−0.11;1.17;32.27;−21.46;1.08;59.15;49.11
72.83;74.29;24.50;2.43;−0.15;1.17;31.66;−22.70;1.09;58.77;49.12
72.94;74.73;24.50;2.43;−0.14;1.17;31.81;−22.39;1.09;58.87;49.12
72.94;74.73;24.50;2.43;−0.14;1.17;31.81;−22.39;1.09;58.87;49.11
72.83;74.29;24.50;2.43;−0.15;1.17;31.66;−22.70;1.09;58.77;49.11
72.73;73.86;24.50;2.43;−0.16;1.17;31.51;−23.01;1.10;58.68;49.04
72.11;71.25;24.50;2.43;−0.22;1.16;30.60;−24.87;1.11;58.12;49.08
72.11;71.25;24.50;2.43;−0.22;1.16;30.60;−24.87;1.11;58.12;49.09
